nome,num_files,lines_added,lines_deleted,analysis_time_hours,description_length,num_participants,num_comments_total
codecrafters-io/build-your-own-x,2,117,0,93.49,0,1,0
freeCodeCamp/freeCodeCamp,2225,10732,20633,6342.69,1077,4,30
sindresorhus/awesome,2,1,2,16.04,8213,2,0
EbookFoundation/free-programming-books,16,861,10,16.56,1370,1,0
public-apis/public-apis,2,347,248,1097.95,902,4,0
kamranahmedse/developer-roadmap,201,1391,202,433.23,341,1,0
jwasham/coding-interview-university,3,3184,0,13378.81,6,1,0
donnemartin/system-design-primer,245,14651,4130,233.45,1707,1,0
996icu/996.ICU,6,1,0,2494.03,0,1,0
vinta/awesome-python,16,2426,1312,48470.38,134,2,0
awesome-selfhosted/awesome-selfhosted,6,8,70,349.16,239,2,0
practical-tutorials/project-based-learning,1,1,0,91.83,652,1,0
facebook/react,56,233,253,73.81,66,2,4
TheAlgorithms/Python,16,33,32,40.18,1524,3,0
vuejs/vue,943,84848,181506,13.19,1275,1,0
ossu/computer-science,11,62,4,286.49,837,1,0
torvalds/linux,7641,3042861,24549,102485.16,0,1,0
trekhleb/javascript-algorithms,655,515,341,9407.26,1006,1,0
tensorflow/tensorflow,50,470,298,717.54,237,1,0
trimstray/the-book-of-secret-knowledge,3,5,3,14697.73,244,2,0
getify/You-Dont-Know-JS,2,3,3,44070.54,1105,1,0
CyC2018/CS-Notes,6,65,0,165.79,53,1,0
ohmyzsh/ohmyzsh,4,236,0,5519.71,780,1,0
Significant-Gravitas/AutoGPT,71,3679,710,531.44,3130,3,8
microsoft/vscode,5,13,16,1.54,55,4,2
twbs/bootstrap,345,9095,73880,199.42,2968,1,0
jackfrued/Python-100-Days,22,163,340,45228.86,21,1,0
flutter/flutter,21,1119,69,43.78,2764,2,6
github/gitignore,14,110,110,13.96,544,2,0
jlevy/the-art-of-command-line,19,642,18,8561.37,0,2,0
AUTOMATIC1111/stable-diffusion-webui,4,7,4,2455.59,680,1,0
avelino/awesome-go,2,5,21,65.88,4047,1,0
ollama/ollama,57,3274,3805,865.7,978,2,63
Snailclimb/JavaGuide,10,231,231,1225.94,55,2,0
airbnb/javascript,6,83,3,1.22,105,1,0
huggingface/transformers,497,1154,8688,187.18,154,3,4
n8n-io/n8n,435,1583,671,44.73,896,4,6
ytdl-org/youtube-dl,11,1430,0,144.73,2361,1,0
f/awesome-chatgpt-prompts,4,324,89,4.17,895,1,0
vercel/next.js,121,8676,5255,3.68,224,2,0
yangshun/tech-interview-handbook,11,11,11,20.44,30,2,0
golang/go,39,178,50,273.83,2397,2,0
labuladong/fucking-algorithm,2,4,0,37.76,308,1,0
yt-dlp/yt-dlp,14,38,3,547.32,2209,6,12
Genymobile/scrcpy,43,789,683,477.92,2957,1,0
langflow-ai/langflow,182,177,232,1.32,1421,2,6
Chalarangelo/30-seconds-of-code,46,574,505,301.65,18288,1,0
microsoft/PowerToys,70,6098,898,191.13,7676,5,80
facebook/react-native,37,780,30,794.34,1357,1,0
electron/electron,129,1851,869,36.63,87,2,0
kubernetes/kubernetes,8123,614246,414417,3961.91,3450,4,2
langchain-ai/langchain,274,4287,2790,70.51,34,2,0
krahets/hello-algo,79,4588,0,592.33,988,2,10
justjavac/free-programming-books-zh_CN,2,18,18,6978.25,54,1,0
langgenius/dify,37,75,0,5.36,245,2,0
ripienaar/free-for-dev,1,1,0,6.86,1547,1,0
nodejs/node,565,12359,6867,36.68,15010,2,0
d3/d3,18,25,25,585.52,29,2,0
open-webui/open-webui,186,11153,2803,391.23,0,2,2
mrdoob/three.js,150,2038,720,2.91,0,1,0
excalidraw/excalidraw,48,860,851,2991.12,2246,1,0
axios/axios,18,5,16755,126.7,17,2,0
rust-lang/rust,47,499,161,6.19,634,1,0
microsoft/TypeScript,5766,23240,23144,96.48,234,5,4
denoland/deno,59,679,1313,1.66,0,2,4
goldbergyoni/nodebestpractices,201,3273,3333,646.29,65,1,0
facebook/create-react-app,228,1426,1162,24489.13,197,1,0
godotengine/godot,53,229,105,437.55,993,4,40
microsoft/generative-ai-for-beginners,48,2529,2416,5.95,577,1,0
microsoft/terminal,304,303,303,117.49,376,4,0
deepseek-ai/DeepSeek-V3,19,0,2260,302.78,0,1,0
fatedier/frp,62,1015,524,632.95,407,1,0
rustdesk/rustdesk,10,14,14,3078.94,19,2,8
papers-we-love/papers-we-love,9,19,1,4849.34,1094,2,0
angular/angular,35,68,68,1.72,888,2,0
Hack-with-Github/Awesome-Hacking,2,3,1,320.79,52,3,0
iptv-org/iptv,23,72,214,6.74,49,3,10
tauri-apps/tauri,21,68,70,115.29,3010,1,0
mui/material-ui,65,1389,4651,2.09,434,1,0
ant-design/ant-design,213,801,992,72.23,2165,6,10
shadcn-ui/ui,690,2693,1024,155.96,351,1,0
Anduin2017/HowToCook,86,6946,0,298.12,412,1,0
ryanmcdermott/clean-code-javascript,2,78,81,190.75,0,1,0
nvbn/thefuck,413,1098,1098,3.84,0,1,0
pytorch/pytorch,74,154,121,20.82,259,2,0
neovim/neovim,39,13,2686,57.98,312,1,0
mtdvio/every-programmer-should-know,1,3,2,9934.64,0,3,0
iluwatar/java-design-patterns,40,1248,37,1277.9,1023,3,18
puppeteer/puppeteer,624,405,182,95.15,2528,2,0
microsoft/Web-Dev-For-Beginners,675,26198,0,2.39,577,1,0
tailwindlabs/tailwindcss,49,10163,1721,191.64,5031,3,26
fastapi/fastapi,74,4117,3845,45.63,980,2,0
PanJiaChen/vue-element-admin,20,104,57,961.13,233,1,0
comfyanonymous/ComfyUI,5,131,17,268.15,992,2,2
supabase/supabase,41,596,774,6218.83,55,1,0
jaywcjlove/awesome-mac,3,24,22,17.98,1257,3,4
openai/whisper,31,199,0,146.22,1287,1,0
storybookjs/storybook,195,8261,4781,433.56,7186,3,63
2dust/v2rayN,22,1217,33,22.66,178,2,8
nvm-sh/nvm,19,0,1490,4.4,7,2,0
ggml-org/llama.cpp,288,25752,11505,1344.75,19112,3,10
florinpop17/app-ideas,2,38,0,16341.44,0,1,0
gin-gonic/gin,3,4,4,965.53,14693,1,0
ChatGPTNextWeb/NextChat,33,796,9,82.53,2015,2,6
bitcoin/bitcoin,53,14857,4680,47.9,488,3,0
django/django,14,292,224,5085.59,156,3,40
opencv/opencv,294,14712,3578,1513.13,1173,2,8
sveltejs/svelte,181,2638,901,165.89,713,2,80
gohugoio/hugo,8,155,3,20.98,0,1,0
gothinkster/realworld,4,26,8,102.81,497,1,0
mermaid-js/mermaid,116,7788,1191,7.32,0,1,0
animate-css/animate.css,25,8713,634,2635.27,1336,1,0
laravel/laravel,65,42283,11,19.39,0,1,0
home-assistant/core,1836,117153,21788,173.57,169,4,0
macrozheng/mall,121,249,156,5104.86,14,1,0
3b1b/manim,18,68,39,708.71,1838,1,0
oven-sh/bun,74,1847,1729,13.92,103,2,80
tonsky/FiraCode,30,401,69,89.98,4048,2,4
microsoft/markitdown,26,25,69,38.59,644,1,0
bregman-arie/devops-exercises,11,125,4069,1218.01,0,1,0
spring-projects/spring-boot,493,776,502,66.83,1182,1,2
doocs/advanced-java,10,70,17,697.0,0,1,0
MunGell/awesome-for-beginners,1,7,0,41.52,124,1,0
immich-app/immich,67,297,3133,335.52,0,2,0
microsoft/ML-For-Beginners,1200,228820,2692,2.83,577,1,0
microsoft/playwright,35,251,264,1227.92,275,2,16
google-gemini/gemini-cli,37,1256,623,50.18,1395,3,80
DopplerHQ/awesome-interview-questions,2,3,1,12730.03,66,2,0
tensorflow/models,80,330,346,111.06,63,1,0
nomic-ai/gpt4all,52,261,148,96.02,861,2,0
syncthing/syncthing,62,340,340,16.57,546,1,0
anuraghazra/github-readme-stats,8,157,303,65.02,318,4,2
clash-verge-rev/clash-verge-rev,98,999,949,2053.45,225,1,0
ruanyf/weekly,66,84,84,20.89,45,1,0
netdata/netdata,353,106949,127,2297.85,54,1,0
FortAwesome/Font-Awesome,13999,602361,583582,21.01,0,1,0
